"lambda","n","method","bias","variance","mse","are","g3_empirical","conv_rate","n_valid"
0.5,46,"OLS",-0.00743666420711331,0.0319780085793629,0.0319693565367336,1,NA,1,500
0.5,46,"MLE",-0.00516936560020631,0.0352417852799936,0.0351980240501422,0.908271341913706,NA,1,500
0.5,46,"PMM3",-0.0101389373673841,0.0342880412385242,0.0343222632069868,0.931446634038565,1.07223816496979,1,500
0.5,46,"PMM2",-0.00713804772440874,0.0329419161848989,0.032926984077845,0.970916633638616,NA,1,500
0.5,100,"OLS",-0.00735766919634551,0.0125792848297199,0.0126082615560633,1,NA,1,500
0.5,100,"MLE",-0.00664738823090905,0.0134013459712095,0.0134187310495595,0.939601629207498,NA,1,500
0.5,100,"PMM3",-0.00660298281834559,0.013292581054255,0.0133095952742459,0.947306157420157,1.05670403637334,1,500
0.5,100,"PMM2",-0.00817854798735196,0.0127122625324125,0.0127537266545291,0.988594306401095,NA,1,500
0.5,200,"OLS",-0.00044962168581919,0.00605965544406391,0.00604773829283615,1,NA,1,500
0.5,200,"MLE",-0.000385887063971913,0.00626282119374526,0.00625044446018391,0.967569319487754,NA,1,500
0.5,200,"PMM3",-0.000355811332065858,0.00628520051033253,0.0062727567110159,0.964127666902084,1.03722077407711,1,500
0.5,200,"PMM2",-0.000326715816998835,0.00607780447291097,0.00606575560719022,0.997029666949866,NA,1,500
0.5,500,"OLS",0.000810489037484263,0.002551779887366,0.00254733322007115,1,NA,1,500
0.5,500,"MLE",0.000559591449779351,0.0025727094311781,0.00256787715490641,0.991999642663587,NA,1,500
0.5,500,"PMM3",0.000534689161167723,0.0025568437899604,0.00255201599487955,0.998165068393849,1.00198445901211,1,500
0.5,500,"PMM2",0.00078870148038801,0.00257583201756147,0.00257130240355151,0.990678193491648,NA,1,500
1,46,"OLS",0.00284733172737628,0.0458332294068186,0.0457496702459707,1,NA,1,500
1,46,"MLE",-0.00362986200102866,0.0457281227128365,0.0456498423655573,1.00218681763705,NA,1,500
1,46,"PMM3",-0.00185405514836878,0.0449986362124282,0.0449120764604966,1.01864963394001,0.981790652651104,1,500
1,46,"PMM2",0.00303748335607468,0.0499634251844924,0.0498727246392618,0.917328471161063,NA,1,500
1,100,"OLS",-0.00364945838257302,0.0197416870880278,0.0197155222603379,1,NA,1,500
1,100,"MLE",-0.00564953469882634,0.0182936634102011,0.018288993325694,1.07799931408143,NA,1,500
1,100,"PMM3",-0.00677587478533059,0.018169515795141,0.0181790892426572,1.08451650119388,0.920362870413427,1,500
1,100,"PMM2",-0.00306340588950804,0.0200216592801505,0.0199910004172341,0.986219891393796,NA,1,500
1,200,"OLS",-0.00216290697259658,0.0107175059292737,0.0107007490839873,1,NA,1,500
1,200,"MLE",-0.00137212730639158,0.00975421261360446,0.00973658692172219,1.09902465515037,NA,1,500
1,200,"PMM3",-0.00113915560196487,0.00992438478844316,0.00990583369435176,1.0802471971732,0.925997601861432,1,500
1,200,"PMM2",-0.00231630155146156,0.0110194023717253,0.0110027288198591,0.972554105366409,NA,1,500
1,500,"OLS",-0.00229685047334471,0.00376925909053553,0.00376699609445137,1,NA,1,500
1,500,"MLE",-0.00175389014098837,0.00362743219678255,0.00362325346301564,1.03967225392951,NA,1,500
1,500,"PMM3",-0.00175101178497838,0.00365677942721418,0.00365253191063088,1.03133831178513,0.970158680892013,1,500
1,500,"PMM2",-0.00213157457278035,0.00381177876389184,0.00380869881652338,0.989050664260695,NA,1,500
1.5,46,"OLS",-0.0213604114857584,0.0707593216700164,0.0710740702055173,1,NA,1,500
1.5,46,"MLE",-0.0104188305888486,0.054146342873762,0.0541466022188537,1.31262290324783,NA,1,500
1.5,46,"PMM3",-0.0146272356302037,0.0552829197042382,0.0553863098870112,1.28324256211525,0.781281086357048,1,500
1.5,46,"PMM2",-0.0231833767102128,0.0733750183333076,0.0737657372523286,0.963510606047303,NA,1,500
1.5,100,"OLS",0.00914074339699633,0.0352280258316951,0.0352411229698814,1,NA,1,500
1.5,100,"MLE",0.0153858525592456,0.0209505712468943,0.0211453945633753,1.66660985512753,NA,1,500
1.5,100,"PMM3",0.0106169795014095,0.0230142574092397,0.0230809491481546,1.52684894991413,0.653293985850707,1,500
1.5,100,"PMM2",0.00927209237318571,0.0357096804546385,0.0357242327907062,0.986476691503632,NA,1,500
1.5,200,"OLS",0.00372874251578326,0.0149557387917211,0.0149397308348867,1,NA,1,500
1.5,200,"MLE",0.00238866742380095,0.00971422071595793,0.00970049800658754,1.54009936652131,NA,1,500
1.5,200,"PMM3",0.00155921646612445,0.0107392793859087,0.0107202319831251,1.39360144989433,0.718070804489678,1,500
1.5,200,"PMM2",0.00407091466188092,0.0152245274132937,0.0152106507046514,0.982188804737866,NA,1,500
1.5,500,"OLS",-0.000405390363182434,0.00675236430604865,0.00673902391878311,1,NA,1,500
1.5,500,"MLE",-0.0006117222706441,0.00389687104011562,0.00388945150217179,1.7326412001847,NA,1,500
1.5,500,"PMM3",0.000597480419925134,0.00447557255597384,0.00446697839371409,1.50863141139573,0.66281562325728,1,500
1.5,500,"PMM2",-0.000285870712712466,0.0067764913926326,0.00676302013191172,0.996451849519805,NA,1,500
2,46,"OLS",0.0107879602146963,0.107117184140338,0.107019329857651,1,NA,1,500
2,46,"MLE",0.00522480432855987,0.0359090780426717,0.0358645584668581,2.98398570713051,NA,1,500
2,46,"PMM3",0.0104216075394064,0.0474596675833125,0.0474733581518513,2.25430291902529,0.443063061862548,1,500
2,46,"PMM2",0.0150627923537763,0.115964000997212,0.115958960708711,0.922906942280074,NA,1,500
2,100,"OLS",0.000612999235311218,0.0511673920019386,0.0510654329859973,1,NA,1,500
2,100,"MLE",-0.0063265938214867,0.0146829661888563,0.0146936260458606,3.47534589669124,NA,1,500
2,100,"PMM3",-0.00286736138162769,0.0201676930538278,0.020135579429013,2.53607963783839,0.394151280039125,1,500
2,100,"PMM2",0.000375551289487852,0.0525518770431431,0.0524469143278279,0.973659435268289,NA,1,500
2,200,"OLS",0.000106903883629883,0.0255726309254493,0.0255214970920387,1,NA,1,500
2,200,"MLE",0.000665473859527754,0.00613451891333826,0.0061226927309693,4.16834523851703,NA,1,500
2,200,"PMM3",-0.000719036551390273,0.00910894500789607,0.00909124413144251,2.80726122003163,0.356198978292494,1,500
2,200,"PMM2",-0.00035555883356575,0.026210271745947,0.0261579776245392,0.975667823344897,NA,1,500
2,500,"OLS",0.000392690148689034,0.00983813168971016,0.00981860963188362,1,NA,1,500
2,500,"MLE",0.00104192299708705,0.00281961300545413,0.00281505938297508,3.48788721519148,NA,1,500
2,500,"PMM3",-0.00128484334541556,0.00397846138182515,0.00397215528148376,2.47185946572964,0.404391962549788,1,500
2,500,"PMM2",0.000436858277382601,0.00982162816021565,0.00980217574904974,1.00167655459916,NA,1,500
3,46,"OLS",0.035261484969987,0.240044490508028,0.240807773849301,1,NA,1,500
3,46,"MLE",0.0120488465803752,0.0244307450253855,0.0245270582392522,9.81804550306492,NA,1,500
3,46,"PMM3",0.0128496325956475,0.0391808918244044,0.0392676430985987,6.13247332529348,0.163223458040975,1,500
3,46,"PMM2",0.022238853742417,0.256258645910483,0.256240695234439,0.939771778362456,NA,1,500
3,100,"OLS",0.00483027954192883,0.0993950953767625,0.0992196367864622,1,NA,1,500
3,100,"MLE",0.00128345164349186,0.0111348197090861,0.0111141973177891,8.92728767984477,NA,1,500
3,100,"PMM3",-0.0012139379097913,0.0161642432347366,0.0161333883935159,6.14995649806206,0.162626165541319,1,500
3,100,"PMM2",0.0048608620150774,0.103299409231007,0.103116438392074,0.962209695501745,NA,1,500
3,200,"OLS",-0.00492858801806006,0.0489360370848687,0.0488624559905507,1,NA,1,500
3,200,"MLE",-0.00124441535656583,0.00525295489863685,0.00524399755841923,9.31778770798665,NA,1,500
3,200,"PMM3",-0.00147068435409436,0.00764023245166811,0.00762711489923415,6.40641404201962,0.156126913963585,1,500
3,200,"PMM2",-0.00621586984234468,0.0491751698911832,0.0491154565892977,0.994848859884117,NA,1,500
3,500,"OLS",-0.00710361603531973,0.0205123497954369,0.0205217864566233,1,NA,1,500
3,500,"MLE",-0.00608911398229561,0.00228150484212447,0.00231401914152961,8.86846011267567,NA,1,500
3,500,"PMM3",-0.00689707247250282,0.00304525089687949,0.00308673000377668,6.64839050759686,0.148459387990591,1,500
3,500,"PMM2",-0.00754850943266039,0.0207480222558837,0.0207635062060269,0.988358432963821,NA,1,500
5,46,"OLS",-0.0322613016892437,0.620365271026232,0.620165332070864,1,NA,1,500
5,46,"MLE",-0.00447044878401348,0.0220481321215494,0.0220240207696367,28.1585882322564,NA,1,500
5,46,"PMM3",0.00146254809276591,0.0298847246507081,0.0298270942483303,20.7920130237152,0.0481727879468037,1,500
5,46,"PMM2",-0.00921276722936937,1.30199446274717,1.29947534890169,0.477242860047344,NA,1,500
5,100,"OLS",-0.0130404366249575,0.26160565820781,0.261252499878763,1,NA,1,500
5,100,"MLE",0.00546074714193656,0.00951179403319023,0.00952259020447201,27.4350249531975,NA,1,500
5,100,"PMM3",0.0039893083208784,0.0109949889348888,0.0109889135378981,23.7741883196885,0.0420288651637451,1,500
5,100,"PMM2",-0.00807713292485257,0.281759376660768,0.281261097983732,0.928861124953278,NA,1,500
5,200,"OLS",0.0284257965775407,0.13869845207629,0.139229081083205,1,NA,1,500
5,200,"MLE",0.0019200281083851,0.00532025299457427,0.00531329899652212,26.20388598013,NA,1,500
